stationId,imageDate,imgPath,humidity,temperature C 2m
1193-0,6/12/2018 14:01,1193-0/93/1544104893_1193-0.jpg,99.3,0.0
1239-0,14/12/2018 10:50,1239-0/24/1544784624_1239-0.jpg,91.9,-1.2
1193-0,6/03/2019 8:14,1193-0/41/1551860041_1193-0.jpg,98.3,2.3
1154-0,7/03/2019 10:25,1154-0/30/1551954330_1154-0.jpg,64.0,10.2
1163-1,21/11/2018 10:45,1163-1/26/1542797126_1163-1.jpg,90.7,-0.1
1238-0,15/12/2018 13:50,1238-0/22/1544881822_1238-0.jpg,90.2,-1.7
101-0,21/12/2018 10:50,101-0/38/1545389438_101-0.jpg,98.3,2.2
1215-1,30/12/2018 9:45,1215-1/05/1546163105_1215-1.jpg,99.3,4.6
1237-0,15/12/2018 10:50,1237-0/21/1544871021_1237-0.jpg,85.9,-1.3
1235-0,13/11/2018 9:30,1235-0/21/1542101421_1235-0.jpg,99.2,12.4
1241-0,28/02/2019 11:50,1241-0/37/1551354637_1241-0.jpg,38.7,13.7
1183-0,11/12/2018 12:55,1183-0/10/1544532910_1183-0.jpg,99.3,3.2
1452-0,10/02/2019 9:53,1452-0/80/1549792380_1452-0.jpg,68.4,6.9
1345-0,5/03/2019 7:25,1345-0/25/1551770725_1345-0.jpg,70.4,6.8
1157-0,6/02/2019 8:30,1157-0/42/1549441842_1157-0.jpg,76.9,1.3
1345-0,17/11/2018 13:45,1345-0/29/1542462329_1345-0.jpg,45.3,5.2
1256-1,5/02/2019 13:02,1256-1/28/1549371728_1256-1.jpg,78.0,3.3
1492-1,1/02/2019 13:25,1492-1/32/1549027532_1492-1.jpg,99.8,0.5
1156-0,13/02/2019 13:45,1156-0/24/1550065524_1156-0.jpg,99.9,5.2
1183-0,2/03/2019 11:40,1183-0/01/1551526801_1183-0.jpg,99.3,2.2
1166-0,11/03/2019 15:39,1166-0/59/1552318759_1166-0.jpg,92.7,3.0
1489-0,22/12/2018 13:27,1489-0/60/1545485260_1489-0.jpg,99.9,5.6
1059-0,14/02/2019 12:30,1059-0/15/1550147415_1059-0.jpg,65.1,4.1
1267-0,26/11/2018 10:50,1267-0/23/1543229423_1267-0.jpg,95.5,0.9
1499-0,8/03/2019 14:16,1499-0/81/1552054581_1499-0.jpg,76.0,8.9
1452-1,13/02/2019 10:13,1452-1/80/1550052780_1452-1.jpg,98.9,1.0
1173-0,7/03/2019 9:14,1173-0/40/1551950040_1173-0.jpg,55.5,9.1
1496-0,6/02/2019 14:15,1496-0/49/1549462549_1496-0.jpg,64.7,4.5
1499-0,24/11/2018 9:35,1499-0/14/1543052114_1499-0.jpg,99.9,1.1
1249-1,1/12/2018 12:02,1249-1/60/1543665760_1249-1.jpg,68.0,-2.3
1480-1,15/02/2019 12:35,1480-1/03/1550234103_1480-1.jpg,77.0,7.5
1256-0,7/02/2019 10:43,1256-0/93/1549536193_1256-0.jpg,68.5,2.7
1094-0,13/02/2019 10:27,1094-0/58/1550053658_1094-0.jpg,81.9,0.9
1200-2,28/02/2019 11:50,1200-2/41/1551354641_1200-2.jpg,37.1,15.2
1248-0,27/12/2018 13:50,1248-0/27/1545918627_1248-0.jpg,87.0,6.4
1200-2,30/12/2018 12:35,1200-2/24/1546173324_1200-2.jpg,94.1,4.8
1031-0,14/12/2018 11:35,1031-0/04/1544787304_1031-0.jpg,88.9,-0.5
1031-1,29/11/2018 14:35,1031-1/17/1543502117_1031-1.jpg,55.7,-0.1
1231-0,7/02/2019 14:49,1231-0/96/1549550996_1231-0.jpg,47.6,4.7
1236-0,5/03/2019 10:08,1236-0/04/1551780504_1236-0.jpg,62.9,7.0
1163-0,11/03/2019 13:45,1163-0/22/1552311922_1163-0.jpg,75.6,5.0
1031-1,24/11/2018 8:55,1031-1/16/1543049716_1031-1.jpg,99.9,2.3
1181-0,18/11/2018 14:25,1181-0/14/1542551114_1181-0.jpg,41.4,0.8
1074-0,5/12/2018 15:10,1074-0/03/1544022603_1074-0.jpg,99.4,2.7
1243-0,8/03/2019 11:51,1243-0/80/1552045880_1243-0.jpg,34.7,14.2
1452-0,4/03/2019 14:14,1452-0/40/1551708840_1452-0.jpg,54.2,15.0
